0,1,2,3,4,5
,,"Bachelor of Science (Analytical Chemistry With Management) Bachelor of Science (Industrial Chemistry With Management)
Bachelor of Science in Analytical Chemistry Bachelor of Science (Industrial Chemistry, With IT)
Bachelor of Science (Analytical Chemistry) Bachelor of Science in Industrial Chemistry
Bachelor of Science in Analytical Chemistry With Computing Bachelor of Science (Industrial Chemistry)
Bachelor of Science Chemistry (Inorganic, Physical and Organic Options) Bachelor of Science (Petroleum Chemistry)
Bachelor of Technology in Applied Chemistry (Analytical & Industrial Options) Bachelor of Technology (Industrial and Applied Chemistry)",,,
,5C,MAT ALTERNATIVE A - C (PLAIN),PHY – C (PLAIN),CHE – C (PLAIN),
,,,,,
,5D,MAT ALTERNATIVE A - C+,PHY - C+,CHE - C+,BIO - C+
,,"Bachelor of Science (Agricultural and Biosystems Engineering)
Bachelor of Engineering (Agricultural & Bio-systems Engineering)
Bachelor of Science (Agricultural & Bio-systems Engineering)
Bachelor of Science in Agricultural and Biosystems Engineering",,,
,5E,MAT ALTERNATIVE A - C+,PHY - C+,CHE - C+,
,,,,,
,,ENG - C (PLAIN),PHY - C+,MAT ALTERNATIVE A & CHE - C+,
,,,,,
DEGREE PROGRAMMES CLUSTERS,,,,,
CLUSTER,"SUB-
PROGRAMMES AND SUBJECT REQUIREMENTS
CLUSTER",,,,
,,"Bachelor of Education Technical and Vocational Education
Bachelor of Education (ICT)
Bachelor of Education (Technology)
Bachelor of Education (Technology Education)",,,
6,,"Subject 1
MAT ALTERNATIVE A","Subject 2
PHY","Subject 3
Any GROUP III","Subject 4
2nd GROUP II or 2nd GROUP III or any GROUP IV
or any GROUP V"
,6A,MAT ALTERNATIVE A - C+,PHY - C+,ENG/KIS - C+,
,,"Bachelor of Architectural Studies/Bachelor of Architecture Bachelor of Quantity Surveying
Bachelor of Architecture Bachelor of Science (Quantity Surveying)
Bachelor of Architectural Technology
Bachelor of Landscape Architecture",,,
,6B,MAT ALTERNATIVE A - C (Plain),ENG/KIS - C+,GEO – C (PLAIN),
,,"Bachelor of Arts (Planning) Bachelor of Construction Management
Bachelor of Arts (Spatial Planning) Bachelor of Science (Construction Management)
Bachelor of Arts (Design) Bachelor of The Built Environment (Construction Management)
Bachelor of Technology (Design) Bachelor of The Built Environment (Urban and Regional Planning)
Bachelor of Technology (Building Construction) Bachelor of Arts (Urban and Regional Planning, With IT)
Bachelor of Science (Urban Design and Development)",,,
,6C,MAT ALTERNATIVE A - C+,,,
,,"Bachelor of Real Estate
Bachelor of Science (Real Estate)
Bachelor of Technology (Real Estate and Property Management)
Bachelor of Science (Land Administration)",,,
7,,"Subject 1
MAT ALTERNATIVE A","Subject 2
PHY","Subject 3
2nd GROUP II or any GROUP III","Subject 4
A GROUP II or a GROUP III or any GROUP IV or
any GROUP V"
,7A,MAT ALTERNATIVE A - C+,PHY - C +,ENG/KIS - C (PLAIN),
,,"Bachelor of Science (Computer Science) Bachelor of Science (Mathematics & Computer Science)
Bachelor of Science in Computer Science Bachelor of Science (Mathematics and Computer Science)
Bachelor of Science (Applied Computer Science) Bachelor of Science in Mathematics & Computer Science
Bachelor of Science in Applied Computer Science Bachelor of Science (Maths and Computer Science)
Bachelor of Science in Applied Physics and Computer Science Bachelor of Science in Mathematics and Computer Science
Bachelor of Science in Software Engineering Bachelor of Science in Statistics & Computer Science
Bachelor of Science (Computer Technology) Bachelor of Technology (Communication and Computer Networks)
Bachelor of Science in Computer Technology Bachelor of Applied Computer Science
Bachelor of Technology (Computer Technology) Bachelor of Science (Computer Security and Forensics)
Bachelor of Science in Computer Information Systems Bachelor of Science in Computer Security and Forensics",,,
,,MAT ALTERNATIVE A - C+,PHY - C (PLAIN),ENG/KIS - C (PLAIN),
,,,,,
DEGREE PROGRAMMES CLUSTERS,,,,,
CLUSTER,"SUB-
PROGRAMMES AND SUBJECT REQUIREMENTS
CLUSTER",,,,
,,Bachelor of Science Statistics and Information Technology,,,
,7C,MAT ALTERNATIVE A - C (PLAIN),ENG/KIS - C (PLAIN),,
,,"Bachelor of Information Technology
Bachelor of Science (Information Technology)
Bachelor of Science in Information Technology
Bachelor of Technology (Information Technology)
Bachelor of Technology in Information Technology
Bachelor of Science (Information and Communication
Technology)
Bachelor of Technology in Information & Communication
Technology",,,
8,,"Subject 1
MAT ALTERNATIVE A","Subject 2
BIO","Subject 3
PHY or CHE","Subject 4
3rd GROUP II or any GROUP III or any GROUP IV
or any GROUP V"
,8A,MAT ALTERNATIVE A - C(PLAIN),"BIO - C (PLAIN)/AGRIC - C+/BST
- C+",,
